Kuerzel;Sektor;Industry;Scan;Set-Up;Tag des Ausbruchs;Entry;$ Tag 1;$ Tag 1 Low;$ Tag 2;$ Tag 2 Low;$ Tag 2 High;$ Tag 3;$ Tag 3 Low;$ Tag 3 High;$ Tag 4;$ Tag 4 Low;$ Tag 4 High;$ Tag 5;$ Tag 5 Low;$ Tag 5 High;VIX CBOE 1-day;Move 1 day;Move 2 day;Move 3 day;Move 4 day;Move 5 day
LNTH;Healthcare;Drug Manufacturer;Bidback;Bottom Bounce;07.04.25;93,00 €;93,41 €;92,14 €;100,16 €;91,65 €;101,35 €;98,51 €;93,88 €;99,59 €;102,00 €;96,00 €;102,27 €;102,13 €;99,53 €;103,00 €;66,51;0,44%;7,70%;5,92%;9,68%;9,82%
LPG;Energy;Oil & Gas Midstream;Bidback;Bottom Bounce;07.04.25;18,63 €;17,91 €;17,61 €;18,83 €;17,25 €;19,50 €;18,19 €;17,93 €;18,66 €;20,54 €;18,92 €;20,59 €;20,23 €;20,05 €;20,96 €;66,51;-3,86%;1,07%;-2,36%;10,25%;8,59%
PARR;Energy;Oil & Gas Refining;Bidback;Bottom Bounce;07.04.25;13,46 €;13,06 €;12,85 €;14,24 €;12,60 €;14,63 €;13,65 €;13,11 €;13,77 €;13,65 €;13,23 €;14,02 €;12,67 €;12,61 €;14,20 €;66,51;-2,97%;5,79%;1,41%;1,41%;-5,87%
SFL;Industrials;Shipping & Ports;Bidback;Bottom Bounce;07.04.25;7,06 €;7,10 €;7,01 €;7,67 €;6,97 €;7,78 €;7,30 €;7,16 €;7,50 €;7,72 €;7,36 €;7,76 €;7,60 €;7,53 €;7,85 €;66,51;0,57%;8,64%;3,40%;9,35%;7,65%
SMCI;Technology;Computer Systemx;Bidback;Bottom Bounce;07.04.25;31,52 €;31,71 €;30,92 €;36,71 €;31,41 €;37,39 €;33,68 €;32,50 €;35,48 €;33,15 €;32,56 €;34,33 €;33,12 €;32,97 €;35,12 €;66,51;0,60%;16,47%;6,85%;5,17%;5,08%
AAL;Industrials;Airlines;Bidback;Bottom Bounce;09.04.25;9,50 €;9,51 €;9,44 €;9,67 €;9,30 €;9,70 €;9,58 €;9,43 €;9,97 €;9,85 €;9,59 €;9,97 €;9,42 €;9,27 €;9,96 €;50,16;0,11%;1,79%;0,84%;3,68%;-0,84%
AHCO;Healthcare;Medical Devices;Bidback;Bottom Bounce;09.04.25;9,15 €;8,96 €;8,83 €;8,66 €;8,44 €;9,03 €;8,22 €;8,11 €;8,87 €;8,00 €;7,88 €;8,26 €;7,82 €;7,81 €;8,16 €;50,16;-2,08%;-5,36%;-10,16%;-12,57%;-14,54%
AHH;Real Estate;Diversified;Bidback;Bottom Bounce;09.04.25;6,44 €;6,52 €;6,28 €;6,72 €;6,45 €;6,75 €;6,90 €;6,79 €;6,95 €;6,90 €;6,83 €;6,97 €;6,56 €;6,55 €;6,89 €;50,16;1,24%;4,35%;7,14%;7,14%;1,86%
ALB;Basic;Specialty Chemicals;Bidback;Bottom Bounce;09.04.25;56,90 €;54,71 €;53,55 €;56,67 €;52,78 €;56,95 €;57,39 €;56,07 €;59,24 €;54,01 €;53,65 €;57,94 €;52,57 €;51,46 €;54,84 €;50,16;-3,85%;-0,40%;0,86%;-5,08%;-7,61%
AOS;Industrials;Diversified;Bidback;Bottom Bounce;09.04.25;61,24 €;62,87 €;60,95 €;64,50 €;62,56 €;64,92 €;65,20 €;64,39 €;65,50 €;63,85 €;63,72 €;65,59 €;62,86 €;62,44 €;64,02 €;50,16;2,66%;5,32%;6,47%;4,26%;2,65%
APA;Energy;Oil & Gas E&P;Bidback;Bottom Bounce;09.04.25;14,66 €;14,60 €;14,16 €;15,04 €;14,10 €;15,21 €;15,20 €;14,81 €;15,51 €;14,89 €;14,81 €;15,53 €;15,37 €;14,84 €;15,74 €;50,16;-0,41%;2,59%;3,68%;1,57%;4,84%
APAM;Financial;Asset Management;Bidback;Bottom Bounce;09.04.25;35,33 €;35,01 €;33,63 €;35,47 €;34,00 €;25,64 €;35,68 €;35,09 €;36,16 €;35,48 €;35,41 €;36,30 €;34,89 €;34,61 €;35,69 €;50,16;-0,91%;0,40%;0,99%;0,42%;-1,25%
APTV;Consumer Cyclicals;Auto Parts;Bidback;Bottom Bounce;09.04.25;51,15 €;49,42 €;47,89 €;47,92 €;47,19 €;49,24 €;50,10 €;47,80 €;50,52 €;50,74 €;48,90 €;50,84 €;50,71 €;50,21 €;53,10 €;50,16;-3,38%;-6,31%;-2,05%;-0,80%;-0,86%
ARCB;Industrials;Trucking;Bidback;Bottom Bounce;09.04.25;63,57 €;63,42 €;61,52 €;62,32 €;59,38 €;63,68 €;62,46 €;61,10 €;63,92 €;60,62 €;60,25 €;63,25 €;58,61 €;57,38 €;60,36 €;50,16;-0,24%;-1,97%;-1,75%;-4,64%;-7,80%
ASB;Financial;Banks - Regional;Bidback;Bottom Bounce;09.04.25;19,44 €;19,29 €;18,64 €;19,23 €;18,78 €;19,49 €;19,49 €;18,93 €;19,64 €;19,81 €;19,56 €;20,11 €;19,66 €;19,09 €;20,06 €;50,16;-0,77%;-1,08%;0,26%;1,90%;1,13%
ASH;Basic;Specialty Chemicals;Bidback;Bottom Bounce;09.04.25;47,15 €;48,59 €;47,01 €;50,51 €;47,66 €;50,56 €;50,67 €;49,61 €;51,37 €;50,36 €;50,06 €;51,15 €;49,55 €;49,00 €;50,74 €;50,16;3,05%;7,13%;7,47%;6,81%;5,09%
ASPN;Basic;Building Materials;Bidback;Bottom Bounce;09.04.25;5,09 €;5,10 €;4,99 €;5,16 €;4,91 €;5,22 €;5,31 €;5,21 €;5,44 €;5,18 €;5,14 €;5,47 €;5,17 €;5,09 €;5,43 €;50,16;0,20%;1,38%;4,32%;1,77%;1,57%
BP;Energy;Oil & Gas Integrated;Bidback;Bottom Bounce;09.04.25;26,44 €;26,23 €;25,91 €;26,59 €;25,79 €;26,74 €;26,91 €;26,55 €;27,41 €;27,21 €;27,17 €;27,77 €;27,66 €;27,45 €;28,18 €;50,16;-0,79%;0,57%;1,78%;2,91%;4,61%
BSAC;Financial;Banks - Regional;Bidback;Bottom Bounce;09.04.25;21,30 €;21,67 €;21,17 €;22,31 €;21,73 €;22,50 €;22,87 €;22,44 €;22,97 €;23,12 €;22,57 €;23,17 €;23,49 €;23,20 €;23,81 €;50,16;1,74%;4,74%;7,37%;8,54%;10,28%
CE;Basic;Chemicals;Bidback;Bottom Bounce;09.04.25;39,01 €;37,58 €;36,95 €;38,38 €;36,30 €;38,58 €;39,19 €;38,31 €;40,18 €;37,93 €;37,90 €;39,69 €;37,53 €;36,82 €;38,77 €;50,16;-3,67%;-1,61%;0,46%;-2,77%;-3,79%
CGNX;Technology;Scientific & Technical Instruments;Bidback;Bottom Bounce;09.04.25;24,20 €;23,45 €;23,09 €;23,95 €;22,84 €;24,12 €;24,45 €;23,93 €;24,99 €;24,00 €;23,86 €;24,98 €;23,55 €;23,30 €;24,14 €;50,16;-3,10%;-1,03%;1,03%;-0,83%;-2,69%
CHRD;Energy;Oil & Gas E&P;Bidback;Bottom Bounce;09.04.25;83,96 €;85,89 €;83,57 €;89,34 €;84,42 €;90,11 €;88,52 €;86,66 €;91,90 €;88,40 €;88,02 €;90,52 €;90,84 €;88,96 €;92,66 €;50,16;2,30%;6,41%;5,43%;5,29%;8,19%
COLM;Consumer Cyclicals;Apparel Manufacturing;Bidback;Bottom Bounce;09.04.25;64,85 €;65,65 €;63,97 €;65,62 €;63,43 €;65,88 €;67,55 €;66,03 €;68,21 €;65,97 €;65,67 €;68,49 €;64,91 €;64,42 €;66,95 €;50,16;1,23%;1,19%;4,16%;1,73%;0,09%
COP;Energy;Oil & Gas E&P;Bidback;Bottom Bounce;09.04.25;83,47 €;83,29 €;80,80 €;86,39 €;92,46 €;86,97 €;86,45 €;85,59 €;88,62 €;85,72 €;85,47 €;87,71 €;86,36 €;86,01 €;88,36 €;50,16;-0,22%;3,50%;3,57%;2,70%;3,46%
CPRX;Healthcare;Biotech;Bidback;Bottom Bounce;09.04.25;21,40 €;21,45 €;20,66 €;22,05 €;21,04 €;22,14 €;22,80 €;22,17 €;22,89 €;23,23 €;22,58 €;23,27 €;22,19 €;21,93 €;23,13 €;50,16;0,23%;3,04%;6,54%;8,55%;3,69%
CRGY;Energy;Oil & Gas E&P;Bidback;Bottom Bounce;09.04.25;7,24 €;7,43 €;7,20 €;7,71 €;7,28 €;7,80 €;7,89 €;7,68 €;8,09 €;7,76 €;7,73 €;8,03 €;8,13 €;7,77 €;8,29 €;50,16;2,62%;6,49%;8,98%;7,18%;12,29%
CRI;Consumer Cyclicals;Apparel Stores;Bidback;Bottom Bounce;09.04.25;35,47 €;36,88 €;35,31 €;37,18 €;35,92 €;37,72 €;36,72 €;35,45 €;37,94 €;35,91 €;35,49 €;37,03 €;35,43 €;35,16 €;36,28 €;50,16;3,98%;4,82%;3,52%;1,24%;-0,11%
DAN;Consumer Cyclicals;Auto Parts;Bidback;Bottom Bounce;09.04.25;10,68 €;10,63 €;10,24 €;10,79 €;10,26 €;10,89 €;11,04 €;10,61 €;11,31 €;11,08 €;10,85 €;11,25 €;11,10 €;10,85 €;11,24 €;50,16;-0,47%;1,03%;3,37%;3,75%;3,93%
DINO;Energy;Oil & Gas Refining;Bidback;Bottom Bounce;09.04.25;25,90 €;26,91 €;25,89 €;27,77 €;26,42 €;27,89 €;27,86 €;27,49 €;28,57 €;27,41 €;27,33 €;28,18 €;27,78 €;27,52 €;28,51 €;50,16;3,90%;7,22%;7,57%;5,83%;7,26%
ESNT;Financial;Insurance - Specialty;Bidback;Bottom Bounce;09.04.25;53,37 €;54,19 €;53,36 €;54,93 €;52,92 €;55,05 €;55,76 €;55,17 €;56,13 €;55,73 €;55,67 €;56,58 €;54,63 €;54,36 €;56,23 €;50,16;1,54%;2,92%;4,48%;4,42%;2,36%
ESTA;Healthcare;Medical Devices;Bidback;Bottom Bounce;09.04.25;30,84 €;30,14 €;28,85 €;30,34 €;28,92 €;31,00 €;31,32 €;30,36 €;32,17 €;31,47 €;30,53 €;32,51 €;30,18 €;29,17 €;31,74 €;50,16;-2,27%;-1,62%;1,56%;2,04%;-2,14%
FBIN;Basic;Building Materials;Bidback;Bottom Bounce;09.04.25;50,14 €;51,48 €;50,02 €;51,87 €;49,61 €;51,87 €;51,54 €;50,70 €;53,11 €;51,50 €;51,21 €;52,74 €;50,47 €;50,00 €;51,62 €;50,16;2,67%;3,45%;2,79%;2,71%;0,66%
FTV;Technology;Scientific & Technical Instruments;Bidback;Bottom Bounce;09.04.25;47,13 €;48,04 €;46,87 €;48,95 €;46,82 €;49,35 €;49,73 €;49,19 €;50,07 €;49,56 €;49,29 €;50,20 €;48,97 €;48,19 €;49,90 €;50,16;1,93%;3,86%;5,52%;5,16%;3,90%
IVZ;Financial;Asset Management;Bidback;Bottom Bounce;09.04.25;12,32 €;12,69 €;12,30 €;12,78 €;12,16 €;12,85 €;12,97 €;12,80 €;13,20 €;13,08 €;12,95 €;13,30 €;12,64 €;12,48 €;13,06 €;50,16;3,00%;3,73%;5,28%;6,17%;2,60%
KRC;Real Estate;Office;Bidback;Bottom Bounce;09.04.25;28,33 €;29,33 €;28,29 €;29,76 €;27,97 €;29,82 €;30,94 €;30,13 €;31,34 €;31,37 €;30,75 €;31,56 €;31,23 €;30,96 €;32,09 €;50,16;3,53%;5,05%;9,21%;10,73%;10,24%
MAS;Basic;Building Materials;Bidback;Bottom Bounce;09.04.25;59,83 €;61,70 €;59,29 €;61,94 €;59,67 €;62,54 €;62,41 €;61,46 €;63,04 €;61,87 €;61,67 €;63,21 €;60,88 €;60,39 €;62,29 €;50,16;3,13%;3,53%;4,31%;3,41%;1,75%
MYGN;Healthcare;Diagnostics & Research;Bidback;Bottom Bounce;09.04.25;7,90 €;7,95 €;7,70 €;8,00 €;7,69 €;8,05 €;8,08 €;7,88 €;8,27 €;8,01 €;7,92 €;8,15 €;7,91 €;7,81 €;8,15 €;50,16;0,63%;1,27%;2,28%;1,39%;0,13%
NDAQ;Financial;Financial Data & Stock Exchanges;Bidback;Bottom Bounce;09.04.25;68,20 €;70,30 €;68,00 €;71,53 €;69,44 €;71,68 €;72,78 €;72,25 €;73,43 €;73,17 €;72,72 €;73,82 €;71,69 €;71,49 €;73,05 €;50,16;3,08%;4,88%;6,72%;7,29%;5,12%
NMR;Financial;Capital Markets;Bidback;Bottom Bounce;09.04.25;5,07 €;5,07 €;4,97 €;5,31 €;5,12 €;5,33 €;5,38 €;5,34 €;5,43 €;5,43 €;5,40 €;5,47 €;5,38 €;5,30 €;5,45 €;50,16;0,00%;4,73%;6,11%;7,10%;6,11%
NOV;Energy;Oil & Gas Equipment & Services;Bidback;Bottom Bounce;09.04.25;11,50 €;11,53 €;11,34 €;11,84 €;11,26 €;11,98 €;12,03 €;11,87 €;12,17 €;12,01 €;11,94 €;12,24 €;12,05 €;11,95 €;12,39 €;50,16;0,26%;2,96%;4,61%;4,43%;4,78%
NXT;Technology;Solar;Bidback;Bottom Bounce;09.04.25;37,80 €;37,75 €;36,15 €;39,23 €;36,78 €;39,56 €;40,73 €;39,13 €;41,15 €;40,57 €;40,12 €;41,28 €;39,72 €;39,11 €;41,12 €;50,16;-0,13%;3,78%;7,75%;7,33%;5,08%
OEC;Basic;Specialty Chemicals;Bidback;Bottom Bounce;09.04.25;11,05 €;11,29 €;10,83 €;11,69 €;11,15 €;11,76 €;11,76 €;11,41 €;11,88 €;11,73 €;11,51 €;11,79 €;11,72 €;11,54 €;11,88 €;50,16;2,17%;5,79%;6,43%;6,15%;6,06%
ON;Technology;Semiconductor;Bidback;Bottom Bounce;09.04.25;33,41 €;34,88 €;33,24 €;35,08 €;32,10 €;35,17 €;35,62 €;34,81 €;36,36 €;35,85 €;35,06 €;36,68 €;34,25 €;32,85 €;35,51 €;50,16;4,40%;5,00%;6,61%;7,30%;2,51%
PHG;Healthcare;Medical Devices;Bidback;Bottom Bounce;09.04.25;22,35 €;22,61 €;22,04 €;23,41 €;22,91 €;23,55 €;23,79 €;23,52 €;24,01 €;23,83 €;23,75 €;23,97 €;23,72 €;23,62 €;24,05 €;50,16;1,16%;4,74%;6,44%;6,62%;6,13%
PI;Technology;Communication Equipment;Bidback;Bottom Bounce;09.04.25;68,55 €;65,92 €;64,39 €;66,77 €;63,36 €;67,64 €;68,02 €;65,47 €;70,03 €;66,38 €;66,34 €;69,54 €;66,03 €;62,94 €;66,14 €;50,16;-3,84%;-2,60%;-0,77%;-3,17%;-3,68%
PR;Energy;Oil & Gas E&P;Bidback;Bottom Bounce;09.04.25;10,47 €;10,56 €;10,32 €;11,04 €;10,38 €;11,09 €;11,00 €;10,86 €;11,49 €;11,02 €;10,88 €;11,26 €;11,50 €;10,99 €;11,64 €;50,16;0,86%;5,44%;5,06%;5,25%;9,84%
RF;Financial;Banks - Regional;Bidback;Bottom Bounce;09.04.25;18,33 €;19,00 €;18,27 €;18,97 €;18,30 €;19,07 €;19,27 €;18,92 €;19,45 €;19,43 €;19,28 €;19,82 €;19,17 €;19,01 €;19,53 €;50,16;3,66%;3,49%;5,13%;6,00%;4,58%
SFBS;Financial;Banks - Regional;Bidback;Bottom Bounce;09.04.25;69,02 €;69,02 €;67,33 €;68,74 €;66,85 €;69,55 €;68,99 €;67,01 €;69,93 €;69,36 €;68,92 €;70,39 €;69,32 €;68,54 €;70,21 €;50,16;0,00%;-0,41%;-0,04%;0,49%;0,43%
SHCO;Consumer Cyclicals;Lodging;Bidback;Bottom Bounce;09.04.25;5,15 €;5,09 €;5,00 €;5,23 €;5,02 €;5,28 €;5,25 €;5,12 €;5,36 €;5,14 €;5,09 €;5,38 €;5,09 €;5,02 €;5,24 €;50,16;-1,17%;1,55%;1,94%;-0,19%;-1,17%
SM;Energy;Oil & Gas E&P;Bidback;Bottom Bounce;09.04.25;21,20 €;21,24 €;20,72 €;21,67 €;20,51 €;21,93 €;21,96 €;21,20 €;22,66 €;21,72 €;21,55 €;22,25 €;22,32 €;21,83 €;22,70 €;50,16;0,19%;2,22%;3,58%;2,45%;5,28%
SPT;Technology;Sofware - Application;Bidback;Bottom Bounce;09.04.25;19,60 €;19,56 €;19,56 €;19,66 €;18,92 €;20,57 €;19,38 €;19,07 €;20,40 €;19,23 €;19,00 €;20,95 €;19,36 €;18,82 €;19,70 €;50,16;-0,20%;0,31%;-1,12%;-1,89%;-1,22%
SWIM;Basic;Building Materials;Bidback;Bottom Bounce;09.04.25;5,04 €;5,02 €;4,96 €;5,01 €;4,66 €;5,03 €;5,10 €;4,99 €;5,32 €;4,86 €;4,80 €;5,12 €;4,83 €;4,72 €;4,94 €;50,16;-0,40%;-0,60%;1,19%;-3,57%;-4,17%
SWK;Industrials;Tools & Accessories;Bidback;Bottom Bounce;09.04.25;58,14 €;58,68 €;55,88 €;59,01 €;56,38 €;59,39 €;60,10 €;58,92 €;60,79 €;58,86 €;58,83 €;60,83 €;56,81 €;56,35 €;59,10 €;50,16;0,93%;1,50%;3,37%;1,24%;-2,29%
SWKS;Technology;Semiconductor;Bidback;Bottom Bounce;09.04.25;52,01 €;53,84 €;51,65 €;56,54 €;51,68 €;56,57 €;57,72 €;56,46 €;58,80 €;57,40 €;57,16 €;58,92 €;55,86 €;53,79 €;56,88 €;50,16;3,52%;8,71%;10,98%;10,36%;7,40%
TECH;Healthcare;Biotech;Bidback;Bottom Bounce;09.04.25;51,05 €;49,26 €;48,40 €;50,72 €;48,42 €;51,09 €;52,53 €;50,94 €;52,74 €;51,07 €;50,54 €;53,00 €;49,97 €;49,72 €;51,87 €;50,16;-3,51%;-0,65%;2,90%;0,04%;-2,12%
USAC;Energy;Oil & Gas Equipment & Services;Bidback;Bottom Bounce;09.04.25;22,66 €;22,94 €;22,26 €;23,72 €;22,41 €;23,72 €;24,42 €;23,84 €;24,61 €;24,93 €;24,19 €;24,93 €;24,91 €;24,52 €;25,33 €;50,16;1,24%;4,68%;7,77%;10,02%;9,93%
USB;Financial;Banks - Regional;Bidback;Bottom Bounce;09.04.25;36,46 €;37,25 €;36,36 €;37,86 €;36,48 €;37,97 €;38,20 €;37,77 €;38,78 €;38,63 €;38,24 €;39,38 €;;;;50,16;2,17%;3,84%;4,77%;5,95%;-100,00%
VAC;Consumer Cyclicals;Resorts & Casinos;Bidback;Bottom Bounce;09.04.25;52,26 €;52,83 €;51,65 €;53,47 €;51,53 €;54,11 €;53,89 €;50,84 €;54,32 €;53,02 €;52,35 €;54,81 €;52,59 €;51,63 €;53,70 €;50,16;1,09%;2,32%;3,12%;1,45%;0,63%
VTLE;Energy;Oil & Gas E&P;Bidback;Bottom Bounce;09.04.25;13,81 €;13,34 €;12,81 €;13,69 €;12,64 €;13,77 €;13,83 €;13,38 €;14,49 €;13,49 €;13,40 €;14,21 €;14,27 €;13,64 €;14,63 €;50,16;-3,40%;-0,87%;0,14%;-2,32%;3,33%
WRBY;Healthcare;Medical Instruments & Supplies;Bidback;Bottom Bounce;09.04.25;14,94 €;15,17 €;14,58 €;14,80 €;13,94 €;15,05 €;14,86 €;14,52 €;15,52 €;14,78 €;14,67 €;15,21 €;14,26 €;14,06 €;14,81 €;50,16;1,54%;-0,94%;-0,54%;-1,07%;-4,55%
XRAY;Healthcare;Medical Instruments & Supplies;Bidback;Bottom Bounce;09.04.25;12,86 €;12,65 €;12,27 €;12,77 €;12,16 €;12,87 €;13,08 €;12,70 €;13,14 €;12,55 €;12,48 €;12,94 €;12,65 €;12,34 €;12,73 €;50,16;-1,63%;-0,70%;1,71%;-2,41%;-1,63%
YETI;Consumer Cyclicals;Leisure;Bidback;Bottom Bounce;09.04.25;28,91 €;29,06 €;28,33 €;29,12 €;27,49 €;29,20 €;28,82 €;28,11 €;29,80 €;28,24 €;27,99 €;28,92 €;26,94 €;26,61 €;28,42 €;50,16;0,52%;0,73%;-0,31%;-2,32%;-6,81%
ZWS;Industrials;Pollution & Treatment Controls;Bidback;Bottom Bounce;09.04.25;28,92 €;29,19 €;28,58 €;29,41 €;28,64 €;29,83 €;29,47 €;29,12 €;29,86 €;29,45 €;29,26 €;29,74 €;29,60 €;29,40 €;30,03 €;50,16;0,93%;1,69%;1,90%;1,83%;2,35%
ARCO;Consumer Cyclicals;Restaurants;Bidback;Continuation;17.04.25;7,24 €;7,36 €;7,23 €;7,60 €;7,37 €;7,62 €;7,48 €;7,48 €;7,77 €;7,51 €;7,40 €;7,61 €;7,57 €;7,34 €;7,58 €;31,35;1,66%;4,97%;3,31%;3,73%;4,56%
NNOX;Healthcare;Medical Devices;Bidback;Gap up Breakout;17.04.25;4,78 €;4,75 €;4,67 €;4,98 €;4,78 €;5,05 €;5,10 €;5,10 €;5,42 €;5,32 €;5,09 €;5,35 €;5,25 €;5,22 €;5,38 €;31,35;-0,63%;4,18%;6,69%;11,30%;9,83%
PUBM;Technology;Software - Application;Bidback;Continuation;17.04.25;8,79 €;9,37 €;8,75 €;9,56 €;9,23 €;9,66 €;9,65 €;9,65 €;10,07 €;9,85 €;9,53 €;10,09 €;9,96 €;9,80 €;10,16 €;31,35;6,60%;8,76%;9,78%;12,06%;13,31%
STEM;Technology;Software - Infrastructure;Bidback;Bottom Bounce;17.04.25;6,82 €;7,06 €;6,70 €;8,00 €;7,00 €;8,02 €;8,13 €;7,80 €;8,55 €;8,13 €;7,80 €;8,50 €;8,31 €;7,93 €;8,40 €;31,35;3,52%;17,30%;19,21%;19,21%;21,85%
TATT;Industrials;Aerospace & Defence;Bidback;Continuation;17.04.25;29,38 €;27,61 €;26,20 €;26,33 €;25,01 €;28,29 €;26,60 €;26,22 €;27,57 €;25,73 €;25,51 €;26,88 €;25,40 €;24,56 €;25,98 €;31,35;-6,02%;-10,38%;-9,46%;-12,42%;-13,55%
FRGE;Technology;Software - Application;Bidback;Continuation;21.04.25;11,24 €;11,81 €;11,20 €;12,55 €;11,77 €;13,10 €;12,71 €;12,45 €;13,03 €;12,71 €;12,29 €;13,18 €;13,27 €;12,50 €;13,50 €;30,65;5,07%;11,65%;13,08%;13,08%;18,06%
PAGS;Technology;Softeware - Inf;Bidback;Gap up Breakout;22.04.25;9,17 €;9,24 €;9,14 €;9,61 €;9,06 €;9,62 €;9,88 €;9,57 €;9,89 €;9,90 €;9,77 €;10,00 €;10,03 €;9,91 €;10,14 €;29,09;0,76%;4,80%;7,74%;7,96%;9,38%
UEC;Basic;Industrial Metals & Minerals;Bidback;Gap up Breakout;23.04.25;5,13 €;5,27 €;5,11 €;5,27 €;5,15 €;5,30 €;5,42 €;5,19 €;5,47 €;5,31 €;5,27 €;5,48 €;5,25 €;5,05 €;5,31 €;30,40;2,73%;2,73%;5,65%;3,51%;2,34%
HDSN;Basic;Spcecialy Chemicals;Bidback;Bottom Bounce;24.04.25;5,73 €;6,23 €;5,73 €;6,43 €;6,20 €;6,45 €;6,71 €;6,39 €;6,73 €;6,69 €;6,46 €;6,74 €;6,58 €;6,55 €;6,86 €;25,69;8,73%;12,22%;17,10%;16,75%;14,83%
HOLO;Technology;Electric Components;Bidback;Bottom Bounce;24.04.25;13,25 €;12,33 €;12,30 €;11,44 €;11,08 €;12,75 €;11,14 €;11,00 €;11,54 €;10,09 €;9,80 €;10,76 €;9,54 €;9,41 €;10,78 €;25,69;-6,94%;-13,66%;-15,92%;-23,85%;-28,00%
RYTM;Healthcare;Biotech;Bidback;Continuation;24.04.25;61,48 €;63,76 €;61,38 €;64,41 €;63,36 €;64,65 €;65,22 €;63,50 €;65,53 €;65,19 €;63,81 €;65,58 €;63,80 €;62,69 €;65,62 €;25,69;3,71%;4,77%;6,08%;6,03%;3,77%
SLM;Financial;Credit Services;Bidback;Earning;24.04.25;27,75 €;27,75 €;27,59 €;28,21 €;27,51 €;28,29 €;28,82 €;28,25 €;29,58 €;28,91 €;27,95 €;29,00 €;29,99 €;28,78 €;30,23 €;25,69;0,00%;1,66%;3,86%;4,18%;8,07%
SMHI;Industrials;Shipping & Ports;Bidback;Continuation;24.04.25;4,92 €;4,90 €;4,86 €;5,22 €;4,85 €;5,30 €;5,08 €;5,03 €;5,26 €;;;;;;;25,69;-0,41%;6,10%;3,25%;-100,00%;-100,00%
TFII;Industrials;Trucking;Bidback;Earning;24.04.25;82,16 €;79,84 €;78,63 €;79,83 €;79,07 €;80,64 €;80,96 €;79,38 €;82,00 €;81,33 €;78,92 €;81,56 €;80,18 €;79,50 €;82,18 €;25,69;-2,82%;-2,84%;-1,46%;-1,01%;-2,41%
CLDX;Healthcare;Biotech;Bidback;Continuation;28.04.25;20,68 €;20,93 €;20,63 €;20,83 €;20,42 €;21,16 €;20,71 €;20,03 €;20,86 €;20,66 €;20,64 €;21,23 €;20,29 €;20,06 €;20,76 €;21,36;1,21%;0,73%;0,15%;-0,10%;-1,89%
FL;Consumer Cyclicals;Apparel Stores;Bidback;Choppy;28.04.25;12,58 €;12,79 €;12,43 €;12,27 €;11,89 €;12,38 €;12,43 €;12,29 €;12,72 €;13,00 €;12,61 €;13,11 €;12,04 €;12,01 €;12,89 €;21,36;1,67%;-2,46%;-1,19%;3,34%;-4,29%
IDYA;Healthcare;Biotech;Bidback;Continuation;28.04.25;19,35 €;19,70 €;19,35 €;20,13 €;19,39 €;20,51 €;20,47 €;19,39 €;20,55 €;20,93 €;20,31 €;21,43 €;20,47 €;20,42 €;21,13 €;21,36;1,81%;4,03%;5,79%;8,17%;5,79%
SHBI;Financial;Banks - Regional;Bidback;Earning;29.04.25;13,69 €;13,83 €;13,65 €;13,91 €;13,67 €;14,07 €;14,37 €;14,02 €;14,52 €;15,55 €;14,30 €;14,84 €;14,37 €;14,34 €;14,50 €;22,12;1,02%;1,61%;4,97%;13,59%;4,97%
TH;Industrials;Business Services;Bidback;Consolidation;29.04.25;6,47 €;6,80 €;6,41 €;7,02 €;6,66 €;7,06 €;7,23 €;7,09 €;7,32 €;7,26 €;6,97 €;7,29 €;7,25 €;7,15 €;7,38 €;22,12;5,10%;8,50%;11,75%;12,21%;12,06%
TZOO;Consumer Cyclicals;Advertising Agencies;Bidback;Earning;29.04.25;14,09 €;13,89 €;13,76 €;14,14 €;13,98 €;16,17 €;14,18 €;13,72 €;14,49 €;14,71 €;13,97 €;15,08 €;13,94 €;13,91 €;14,92 €;22,12;-1,42%;0,35%;0,64%;4,40%;-1,06%
DXCM;Healthcare;Medical Devices;Bidback;Earning;02.05.25;80,50 €;80,27 €;80,00 €;81,53 €;78,55 €;82,48 €;83,35 €;80,50 €;83,90 €;85,34 €;83,48 €;85,74 €;84,67 €;84,23 €;85,71 €;19,98;-0,29%;1,28%;3,54%;6,01%;5,18%
QUBT;Technology;Computer Systemx;Bidback;Continuation;02.05.25;7,50 €;7,33 €;7,31 €;7,08 €;6,83 €;7,18 €;7,08 €;6,92 €;7,23 €;8,44 €;7,19 €;8,53 €;8,59 €;8,12 €;8,87 €;19,98;-2,27%;-5,60%;-5,60%;12,53%;14,53%
RDW;Industrials;Aerospace & Defence;Bidback;Continuation;02.05.25;11,78 €;11,45 €;11,43 €;11,41 €;10,76 €;11,41 €;11,17 €;10,98 €;11,45 €;11,47 €;11,14 €;11,70 €;11,31 €;10,76 €;11,75 €;19,98;-2,80%;-3,14%;-5,18%;-2,63%;-3,99%
FLGT;Healthcare;Diagnostics & Research;Bidback;Earning;02.05.25;19,31 €;19,56 €;19,25 €;18,82 €;18,62 €;19,65 €;18,65 €;18,42 €;19,06 €;18,56 €;18,51 €;18,99 €;19,70 €;18,56 €;19,72 €;19,98;1,29%;-2,54%;-3,42%;-3,88%;2,02%
