Kuerzel;Sektor;Industry;Scan;Set-Up;Tag des Ausbruchs;Entry;$ Tag 1;$ Tag 1 Low;$ Tag 2;$ Tag 2 Low;$ Tag 2 High;$ Tag 3;$ Tag 3 Low;$ Tag 3 High;$ Tag 4;$ Tag 4 Low;$ Tag 4 High;$ Tag 5;$ Tag 5 Low;$ Tag 5 High;VIX CBOE 1-day;Move 1 day;Move 2 day;Move 3 day;Move 4 day;Move 5 day
MCRB;Healthcare;Biotech;Bidback;Bottom Bounce;22.01.25;17,20 €;17,74 €;16,81 €;17,24 €;17,00 €;18,50 €;16,83 €;16,40 €;18,40 €;16,27 €;16,06 €;17,16 €;16,10 €;15,88 €;16,74 €;9,58;3,14%;0,23%;-2,15%;-5,41%;-6,40%
PPC;Consumer Defensive;Packaged Food;Bidback;Consolidation;23.01.25;46,32 €;45,57 €;45,08 €;46,29 €;45,19 €;46,96 €;46,30 €;46,25 €;47,79 €;46,89 €;46,12 €;47,01 €;47,30 €;46,38 €;47,51 €;9,26;-1,62%;-0,06%;-0,04%;1,23%;2,12%
BIP;Utilities;Diversified;Bidback;Continuation;23.01.25;33,25 €;32,77 €;33,23 €;32,63 €;32,51 €;33,38 €;32,13 €;32,28 €;32,85 €;33,57 €;31,83 €;32,60 €;;;;9,26;-1,44%;-1,86%;-3,37%;0,96%;-100,00%
ARWR;Healthcare;Biotech;Bidback;Continuation;23.01.25;20,93 €;20,76 €;20,70 €;20,25 €;19,89 €;21,13 €;20,03 €;19,79 €;20,64 €;19,95 €;19,69 €;20,30 €;20,23 €;19,96 €;20,65 €;9,26;-0,81%;-3,25%;-4,30%;-4,68%;-3,34%
AVPT;Technology;Software - Infrastructure;Bidback;Continuation;23.01.25;17,98 €;18,04 €;17,82 €;17,93 €;17,21 €;18,12 €;18,50 €;17,61 €;18,60 €;18,44 €;18,16 €;18,67 €;18,72 €;18,46 €;18,89 €;9,26;0,33%;-0,28%;2,89%;2,56%;4,12%
SVCO;Technology;Software - Application;Bidback;Continuation;23.01.25;9,21 €;9,80 €;8,88 €;8,48 €;8,35 €;9,60 €;8,30 €;7,95 €;8,77 €;8,44 €;8,11 €;8,47 €;8,58 €;8,45 €;8,88 €;9,26;6,41%;-7,93%;-9,88%;-8,36%;-6,84%
IBKR;Financial;Capital Markets;Bidback;Continuation;24.01.25;53,75 €;50,97 €;50,30 €;51,94 €;51,00 €;52,15 €;52,81 €;51,67 €;53,02 €;54,79 €;53,23 €;55,27 €;54,36 €;53,88 €;55,06 €;9,01;-5,17%;-3,37%;-1,75%;1,93%;1,13%
BKSY;Technology;Scientific & Technical Instruments;Bidback;Continuation;24.01.25;14,12 €;13,16 €;13,06 €;14,02 €;13,76 €;17,39 €;13,42 €;12,92 €;14,45 €;13,57 €;13,45 €;14,48 €;14,99 €;13,69 €;14,99 €;9,01;-6,80%;-0,71%;-4,96%;-3,90%;6,16%
LX;Financial;Creadit Services;Bidback;Continuation;24.01.25;7,40 €;7,52 €;7,21 €;7,73 €;7,40 €;7,80 €;7,85 €;7,67 €;8,11 €;8,32 €;7,83 €;8,50 €;7,90 €;7,68 €;8,50 €;9,01;1,62%;4,46%;6,08%;12,43%;6,76%
MTLS;Technology;Software - Application;Bidback;Continuation;24.01.25;8,14 €;8,05 €;7,94 €;8,46 €;7,99 €;8,49 €;8,57 €;8,28 €;8,68 €;8,65 €;8,59 €;8,85 €;8,38 €;8,38 €;8,77 €;9,01;-1,11%;3,93%;5,28%;6,27%;2,95%
